original_text,claims_labels,claims,text_length
"The Clean Power Plan, a major component of fulfilling the agreement, would spike energy costs for working and middle-class Texans by 16% by 2030, according to the Economic Reliability Council of Texas",NOT_ENOUGH_INFO,clean power plan major component fulfilling agreement would spike energy cost working middleclass texan according economic reliability council texas,148
'Global warming' and 'climate change' mean different things and have both been used for decades.,REFUTES,global warming climate change mean different thing used decade,62
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.",NOT_ENOUGH_INFO,sea level rise occurring long human could blamed not accelerated,64
Polar bear numbers are increasing,SUPPORTS,polar bear number increasing,28
The melting in the polar ice caps and in high altitude plains can lead to the dangerous release of methane gas,NOT_ENOUGH_INFO,melting polar ice cap high altitude plain lead dangerous release methane gas,76
The main reason behind this mid-century cooling was global dimming due to anthropogenic sulfate aerosol emissions.,NOT_ENOUGH_INFO,main reason behind midcentury cooling global dimming due anthropogenic sulfate aerosol emission,95
There is a link between climate change and the NSW bushfires.,SUPPORTS,link climate change nsw bushfires,33
During the 2013 election campaign the Coalition said its first legislative priority in government would be to scrap the carbon tax.,SUPPORTS,election campaign coalition said first legislative priority government would scrap carbon tax,93
[CO2] has increased 43 percent above the pre-industrial level so far,NOT_ENOUGH_INFO,co2 increased percent preindustrial level far,45
Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,REFUTES,increased atmospheric carbon dioxide helped raise global food production reduce poverty,87
Scotland's climate targets are toughest in the world,NOT_ENOUGH_INFO,scotland climate target toughest world,38
"The consequences of climate change become increasingly bad after each additional degree of warming, with the consequences of 2°C being quite damaging and the consequences of 4°C being potentially catastrophic.",NOT_ENOUGH_INFO,consequence climate change become increasingly bad additional degree warming consequence 2°c quite damaging consequence 4°c potentially catastrophic,148
"The Massachusetts Bay Colony in 1635 experienced a Category 3 or 4 storm, with up to a 20-foot storm surge.",NOT_ENOUGH_INFO,massachusetts bay colony experienced category storm foot storm surge,68
"“It’s far too early to tell if what we are seeing in the Arctic, and now the Antarctic, is a sharp shift towards warmer poles with less ice.",REFUTES,far early tell seeing arctic antarctic sharp shift towards warmer pole less ice,79
It has never been shown that human emissions of carbon dioxide drive global warming.,NOT_ENOUGH_INFO,never shown human emission carbon dioxide drive global warming,62
by that I mean the central Arctic will be ice-free.,NOT_ENOUGH_INFO,mean central arctic icefree,27
global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature,REFUTES,global warming ceased around end twentieth century followed since year stable temperature,89
The consensus among scientists and policy-makers is that we’ll pass this point of no return if the global mean temperature rises by more than two degrees Celsius.,NOT_ENOUGH_INFO,consensus among scientist policymakers pas point return global mean temperature rise two degree celsius,103
"While there has been a mean rise of a little more than 3mm per year worldwide since the 1990s, in the last decade, the NOAA Virginia Key tide gauge just south of Miami Beach has measured a 9mm rise annually.”",SUPPORTS,mean rise little 3mm per year worldwide since 1990s last decade noaa virginia key tide gauge south miami beach measured 9mm rise annually,137
When the Emergency Leaders for Climate Action approached the Federal Government in April they were drawing on decades of data showing that fire conditions are getting worse.,NOT_ENOUGH_INFO,emergency leader climate action approached federal government april drawing decade data showing fire condition getting worse,124
"In no way, shape, or form are humans warming or cooling the planet.",NOT_ENOUGH_INFO,way shape form human warming cooling planet,43
"When CO2 levels were higher in the past, solar levels were also lower.",REFUTES,co2 level higher past solar level also lower,44
Climate change is because of El Niño.,NOT_ENOUGH_INFO,climate change niño,19
"Julia Gillard her decision not to argue against a fixed carbon price being labelled a ""carbon tax"" hurt her terribly politically.",NOT_ENOUGH_INFO,julia gillard decision not argue against fixed carbon price labelled carbon tax hurt terribly politically,105
"Therefore human emissions upset the natural balance, rising CO2 to levels not seen in at least 800,000 years.",SUPPORTS,therefore human emission upset natural balance rising co2 level not seen least year,83
"This requires us to work towards avoiding catastrophic possibilities rather than looking at probabilities, as learning from mistakes is not an option when it comes to existential risks.",SUPPORTS,requires work towards avoiding catastrophic possibility rather looking probability learning mistake not option come existential risk,132
Different areas of science are understood with varying degrees of certainty.,SUPPORTS,different area science understood varying degree certainty,58
Ocean and surface temperature measurements find the planet continues to accumulate heat.,NOT_ENOUGH_INFO,ocean surface temperature measurement find planet continues accumulate heat,75
"(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.",NOT_ENOUGH_INFO,koch industry among worst toxic air pollution entire united state churn climatechanging greenhouse gas oil giant chevron shell valero,133
Weather and climate are different; climate predictions do not need weather detail.,NOT_ENOUGH_INFO,weather climate different climate prediction not need weather detail,68
“Forest fires are caused by poor management. Not by climate change.”,REFUTES,forest fire caused poor management not climate change,53
"The oceans are warming and moreover are becoming more acidic, threatening the food chain.",SUPPORTS,ocean warming moreover becoming acidic threatening food chain,61
"Warmer seasons or triennial phases are followed by an atmosphere that is rich in CO2, reflecting the gas solving or exsolving from water, and not photosynthesis activity.",NOT_ENOUGH_INFO,warmer season triennial phase followed atmosphere rich co2 reflecting gas solving exsolving water not photosynthesis activity,125
[…] Constant 24-7  media coverage of every significant storm worldwide just makes it seem  that way.”,SUPPORTS,constant medium coverage every significant storm worldwide make seem way,72
Marine life has nothing whatsoever to fear from ocean acidification.,REFUTES,marine life nothing whatsoever fear ocean acidification,55
"The claim that 2.2 conventional jobs are destroyed   for  every new job created in the alternative energy industry is based on a study which relies on incorrect numbers, cherrypicked dates, faulty theory, flawed methodology, and is disproven by real-world examples.",SUPPORTS,claim conventional job destroyed every new job created alternative energy industry based study relies incorrect number cherrypicked date faulty theory flawed methodology disproven realworld example,197
"Sea level rise of 65 centimeters, or roughly 2 feet would cause significant problems for coastal cities around the world.",SUPPORTS,sea level rise centimeter roughly foot would cause significant problem coastal city around world,96
"The first adjustment changed how the temperature of the ocean surface is calculated, by replacing satellite data with drifting buoys and temperatures in ships’ water intake.",SUPPORTS,first adjustment changed temperature ocean surface calculated replacing satellite data drifting buoy temperature ship water intake,130
There may have been regions of Greenland that were 'greener' than today,NOT_ENOUGH_INFO,may region greenland greener today,34
“Believing CO2 controls the climate is pretty close to believing in magic.”,REFUTES,believing co2 control climate pretty close believing magic,58
"The past shows that climate change is normal, that warmer times and more atmospheric carbon dioxide have driven biodiversity and that cold times kill.”",REFUTES,past show climate change normal warmer time atmospheric carbon dioxide driven biodiversity cold time kill,105
The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction.,NOT_ENOUGH_INFO,failure polar bear survival model simple fact explodes myth polar bear way extinction,85
Small amounts of very active substances can cause large effects.,NOT_ENOUGH_INFO,small amount active substance cause large effect,48
"In its 5th assessment report in 2013, the IPCC estimated that human emissions are probably responsible for more than half of the observed increase in global average temperature from 1951 to 2010.",NOT_ENOUGH_INFO,5th assessment report ipcc estimated human emission probably responsible half observed increase global average temperature,122
"A recent Nature study expecting more severe hurricanes from global warming still found that damages would halve from 0.04 per cent to 0.02 per cent of global GDP, because the increased ferocity would be more than made up by increased prosperity and resilience.",NOT_ENOUGH_INFO,recent nature study expecting severe hurricane global warming still found damage would halve per cent per cent global gdp increased ferocity would made increased prosperity resilience,183
"Two American researchers allege that U.S. government scientists have  skewed global temperature trends by ignoring readings from thousands of  local weather stations around the world, particularly those in colder  altitudes and more northerly latitudes, such as Canada.",NOT_ENOUGH_INFO,two american researcher allege government scientist skewed global temperature trend ignoring reading thousand local weather station around world particularly colder altitude northerly latitude canada,199
"Small increases in average temperature translate to big increases in the number of extremely hot days, and those hot days have a big impact.",SUPPORTS,small increase average temperature translate big increase number extremely hot day hot day big impact,101
The report suggests significantly smaller overall  ice-mass losses than previous estimates.,REFUTES,report suggests significantly smaller overall icemass loss previous estimate,76
Other parts of the earth got colder when Greenland got warmer.,NOT_ENOUGH_INFO,part earth got colder greenland got warmer,42
"In other words, we have, trapped in Arctic permafrost, twice as much carbon as is currently wrecking the atmosphere of the planet, all of it scheduled to be released at a date that keeps getting moved up, partially in the form of a gas that multiplies its warming power 86 times over.",SUPPORTS,word trapped arctic permafrost twice much carbon currently wrecking atmosphere planet scheduled released date keep getting moved partially form gas multiplies warming power time,177
The observed behavior of radiation fluxes implies negative feedback processes associated with relatively low climate sensitivity.,NOT_ENOUGH_INFO,observed behavior radiation flux implies negative feedback process associated relatively low climate sensitivity,112
Our evolving dynamic planet has survived[…] mass extinctions,NOT_ENOUGH_INFO,evolving dynamic planet survived… mass extinction,49
500 Scientists Write U.N. ‘There Is No Climate Emergency’.... More than 500 scientists and professionals in climate and related fields have sent a European Climate Declaration to the Secretary-General of the United Nations,REFUTES,scientist write climate emergency scientist professional climate related field sent european climate declaration secretarygeneral united nation,143
Cooks ’97% consensus’ disproven by a new peer,NOT_ENOUGH_INFO,cook consensus disproven new peer,33
"‘We could be decades too fast, or decades too slow,’said one of them, Robert M. DeConto of the University of Massachusetts, Amherst.",NOT_ENOUGH_INFO,could decade fast decade slow said one robert deconto university massachusetts amherst,86
Thick arctic sea ice is in rapid retreat.,NOT_ENOUGH_INFO,thick arctic sea ice rapid retreat,34
"The Rio Grande is a classic “feast or famine” river, with a dry year or two typically followed by a couple of wet years that allow for recovery.",NOT_ENOUGH_INFO,rio grande classic feast famine river dry year two typically followed couple wet year allow recovery,100
"When CO2 was higher in the past, the sun was cooler.",NOT_ENOUGH_INFO,co2 higher past sun cooler,26
"Some scientists believe that solar activity is more likely to influence today’s climate than carbon dioxide, and Dr Soon has compiled data showing temperature in America, Canada and Mexico rises and falls in line with solar activity.",REFUTES,scientist believe solar activity likely influence today climate carbon dioxide soon compiled data showing temperature america canada mexico rise fall line solar activity,169
"Although it has some very important and beneficial effects, CO2 meets the legal and encyclopedic definitions of a ""pollutant"", and human CO2 emissions pose a threat to public health and welfare.",SUPPORTS,although important beneficial effect co2 meet legal encyclopedic definition pollutant human co2 emission pose threat public health welfare,138
"When life is considered, ocean acidification is often found to be a non-problem, or even a benefit.",REFUTES,life considered ocean acidification often found nonproblem even benefit,71
"Warming of the climate system is unequivocal, and since the 1950s, many of the observed changes are unprecedented over decades to millennia.",SUPPORTS,warming climate system unequivocal since 1950s many observed change unprecedented decade millennium,99
"Extreme melting and changes to the climate like this has released pressure on to the continent, allowing the ground to rise up.",NOT_ENOUGH_INFO,extreme melting change climate like released pressure continent allowing ground rise,84
"[data] show only slight warming, mostly at night and in winter",NOT_ENOUGH_INFO,data show slight warming mostly night winter,44
"Higher temperatures, we’re told, will be deadly—killing “thousands to tens of thousands” of Americans",SUPPORTS,higher temperature told deadly—killing thousand ten thousand american,69
So CO2 causes warming AND rising temperature causes CO2 rise.,NOT_ENOUGH_INFO,co2 cause warming rising temperature cause co2 rise,51
There are already more American jobs in the solar industry than in coal mining.,SUPPORTS,already american job solar industry coal mining,47
"He claimed ""the planet is running a ’fever’ and the prognosis is that it is apt to get much worse.""",NOT_ENOUGH_INFO,claimed planet running fever prognosis apt get much worse,57
"“Which is to say that these beans will be eaten by cows, and the cows will convert the beans to meat, and the humans will eat the meat.",NOT_ENOUGH_INFO,say bean eaten cow cow convert bean meat human eat meat,55
"Back in the late 1980s, the UN claimed that if global warming were not checked by 2000, rising sea levels would wash entire counties away.",SUPPORTS,back late 1980s claimed global warming not checked rising sea level would wash entire county away,97
"“Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050, the predicted 67-per-cent decline in polar bear numbers simply didn’t happen.",NOT_ENOUGH_INFO,although extent summer sea ice dropped abruptly level not expected predicted percent decline polar bear number simply happen,124
Martian climate is primarily driven by dust and albedo and there is little empirical evidence that Mars is showing long term warming.,NOT_ENOUGH_INFO,martian climate primarily driven dust albedo little empirical evidence mar showing long term warming,100
"The Massachusetts Bay Colony in 1635 experienced a Category 3 or 4 storm, with up to a 20-foot storm surge.",NOT_ENOUGH_INFO,massachusetts bay colony experienced category storm foot storm surge,68
"Though CRU neglected to provide an exact list of temperature stations, it could not have hid or tampered with data.",NOT_ENOUGH_INFO,though cru neglected provide exact list temperature station could not hid tampered data,87
The changes in the amount of oxygen in the shells isn’t a reflection of changing temperatures – just a consequence of the fact that the amount of oxygen seen changes over time anyway.,NOT_ENOUGH_INFO,change amount oxygen shell reflection changing temperature consequence fact amount oxygen seen change time anyway,113
Observed sea levels are actually tracking at the upper range of the IPCC projections.,SUPPORTS,observed sea level actually tracking upper range ipcc projection,64
Carbon dioxide is not a climate heat driver; we had an ice age when the Earth had extraordinarily larger amounts of carbon dioxide; in the 1970s scientists thought we were going to have a new ice age.,REFUTES,carbon dioxide not climate heat driver ice age earth extraordinarily larger amount carbon dioxide 1970s scientist thought going new ice age,139
alarmists here are taking overwhelmingly good news about global warming improving plant health and making it seem like this good news is actually bad news because healthier plants mean more pollen.,NOT_ENOUGH_INFO,alarmist taking overwhelmingly good news global warming improving plant health making seem like good news actually bad news healthier plant mean pollen,151
"Like countless other organ­isms, we move and adapt when the environment changes.",NOT_ENOUGH_INFO,like countless organ­isms move adapt environment change,55
CFCs contribute to global waerming at a small level.,REFUTES,cfc contribute global waerming small level,42
"Data from NOAA’s Barrow Alaska station ‘indicate that October through December emissions of CO2 from surrounding tundra increased by 73 percent since 1975, supporting the view that rising temperatures have made Arctic ecosystems a net source of CO2.’”",NOT_ENOUGH_INFO,data noaa barrow alaska station indicate october december emission co2 surrounding tundra increased percent since supporting view rising temperature made arctic ecosystem net source co2,185
"Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.",NOT_ENOUGH_INFO,forward projection solar cyclicity imply next decade may marked global cooling rather warming despite continuing co2 emission,125
Preventing global warming is relatively cheap; business-as-usual will cause accelerating climate damage costs that economists struggle to even estimate.,NOT_ENOUGH_INFO,preventing global warming relatively cheap businessasusual cause accelerating climate damage cost economist struggle even estimate,130
President-elect Trump has selected a climate change skeptic to head the team in charge of the transition between Obama and Trump's Environmental Protection Agencies.,NOT_ENOUGH_INFO,presidentelect trump selected climate change skeptic head team charge transition obama trump environmental protection agency,124
"California legislators have made it illegal for anyone to deny climate change, under threat of jail time.",NOT_ENOUGH_INFO,california legislator made illegal anyone deny climate change threat jail time,78
"""...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",REFUTES,contention wolfgang knorr department earth science university bristol england carbon dioxide level atmosphere year ago quoted ken ward,134
"This means it is possible that by some yardsticks, 2016 will be declared as hot as 2015 or even slightly hotter – because El Nino did not vanish until the middle of the year.",NOT_ENOUGH_INFO,mean possible yardstick declared hot even slightly hotter nino not vanish middle year,85
"In one particularly damning email, CRU director Phil Jones said he had used ‘Mike’s Nature trick’ to ‘hide the decline’ in temperatures in the second half of the 20th century.",NOT_ENOUGH_INFO,one particularly damning email cru director phil jones said used mike nature trick hide decline temperature second half 20th century,132
"With that in mind, they propose a plausible and terrifying “2050 scenario” whereby humanity could face irreversible collapse in just three decades.",NOT_ENOUGH_INFO,mind propose plausible terrifying scenario whereby humanity could face irreversible collapse three decade,105
Contemporary Global Warming placed in geological context.,NOT_ENOUGH_INFO,contemporary global warming placed geological context,53
"if we halved today’s atmospheric carbon dioxide content, all life would die.",NOT_ENOUGH_INFO,halved today atmospheric carbon dioxide content life would die,62
"It’s not carbon dioxide, it’s not methane… Scientists estimate that somewhere between 75% and 90% of Earth greenhouse effect is caused by water vapor in clouds.”",NOT_ENOUGH_INFO,not carbon dioxide not methane… scientist estimate somewhere earth greenhouse effect caused water vapor cloud,109
"In the early 20th century, state and federal governments began aggressively fighting wildfires and trying to keep them as small as possible.",NOT_ENOUGH_INFO,early 20th century state federal government began aggressively fighting wildfire trying keep small possible,107
Melting of Arctic sea ice and polar icecaps is not occurring at unnatural rates and does not constitute evidence of a human impact on the climate.,NOT_ENOUGH_INFO,melting arctic sea ice polar icecap not occurring unnatural rate not constitute evidence human impact climate,109
"“While record low sea ice is nothing new in the Arctic, this is a surprising turn of events for the Antarctic.",NOT_ENOUGH_INFO,record low sea ice nothing new arctic surprising turn event antarctic,69
Schmittner finds low climate sensitivity.,NOT_ENOUGH_INFO,schmittner find low climate sensitivity,39
"If Houlton’s finding about these vast, previously unknown nitrogen stores holds true, then it would have an enormous impact on global warming predictions.",NOT_ENOUGH_INFO,houlton finding vast previously unknown nitrogen store hold true would enormous impact global warming prediction,112
"If we halve the carbon dioxide content of the atmosphere, all life dies.",NOT_ENOUGH_INFO,halve carbon dioxide content atmosphere life dy,47
CO2 is a greenhouse gas but is clearly subordinate to water vapour and other more significant factors determining global climate.,NOT_ENOUGH_INFO,co2 greenhouse gas clearly subordinate water vapour significant factor determining global climate,97
"""The climate of this planet oscillates between periods of approximately  30 years of warming followed by approximately 30 years of cooling.",NOT_ENOUGH_INFO,climate planet oscillates period approximately year warming followed approximately year cooling,95
"""Global warming is mostly due to heat production by human industry since the 1800s, from nuclear power and fossil fuels, better termed hydrocarbons, – coal, oil, natural gas.",SUPPORTS,global warming mostly due heat production human industry since 1800s nuclear power fossil fuel better termed hydrocarbon coal oil natural gas,141
"“In an old climate, … extremely warm years were less common and snowpack was more reliable …",NOT_ENOUGH_INFO,old climate extremely warm year less common snowpack reliable,61
The heatwave we now have in Europe is not something that was expected with just 1C of warming,SUPPORTS,heatwave europe not something expected warming,46
Excess CO2 from human emissions has a long residence time of over 100 years,SUPPORTS,excess co2 human emission long residence time year,50
Fundamental physics and global climate models both make testable predictions as to how the global climate should change in response to anthropogenic warming.,NOT_ENOUGH_INFO,fundamental physic global climate model make testable prediction global climate change response anthropogenic warming,117
"The Petition Project features over 31,000 scientists signing the petition stating ""There is no convincing scientific evidence that human release of carbon dioxide will, in the forseeable future, cause catastrophic heating of the Earth's atmosphere ..."".",NOT_ENOUGH_INFO,petition project feature scientist signing petition stating convincing scientific evidence human release carbon dioxide forseeable future cause catastrophic heating earth atmosphere,181
"The current debate on the connection between CO2 emissions and climate change has largely overlooked an independent and equally serious problem, the increasing acidity of our oceans.",SUPPORTS,current debate connection co2 emission climate change largely overlooked independent equally serious problem increasing acidity ocean,133
"Tree-ring proxy reconstructions are reliable before 1960, tracking closely with the instrumental record and other independent proxies.",NOT_ENOUGH_INFO,treering proxy reconstruction reliable tracking closely instrumental record independent proxy,93
"The report confidently claims that when temperatures rise, “the reduction in premature deaths from cold are expected to be smaller than the increase in deaths from heat in the United States.",NOT_ENOUGH_INFO,report confidently claim temperature rise reduction premature death cold expected smaller increase death heat united state,122
"If warming temperatures brought on by greenhouse gas emissions make wet years less wet and dry years even drier, as scientists anticipate, year-to-year recovery will become more difficult.",SUPPORTS,warming temperature brought greenhouse gas emission make wet year less wet dry year even drier scientist anticipate yeartoyear recovery become difficult,152
"Temperatures in the Arctic have soared recently, and scientists are struggling to explain exactly why.",NOT_ENOUGH_INFO,temperature arctic soared recently scientist struggling explain exactly,71
"The earth is 15 years from a “mini ice-age” that will cause bitterly cold winters during which rivers such as the Thames freeze over, scientists have predicted.",NOT_ENOUGH_INFO,earth year mini iceage cause bitterly cold winter river thames freeze scientist predicted,89
"Back in the late 1980s, the UN claimed that if global warming were not checked by 2000, rising sea levels would wash entire counties away.",SUPPORTS,back late 1980s claimed global warming not checked rising sea level would wash entire county away,97
"Within a decade, certain kinds of branching and plate coral could be extinct, reef scientists say, along with a variety of small fish that rely on them for protection from predators.",NOT_ENOUGH_INFO,within decade certain kind branching plate coral could extinct reef scientist say along variety small fish rely protection predator,131
There will still be about a million square kilometres of ice in the Arctic in summer,NOT_ENOUGH_INFO,still million square kilometre ice arctic summer,48
"A World Heritage site, it is currently under assault from unusually hot ocean temperatures,”",NOT_ENOUGH_INFO,world heritage site currently assault unusually hot ocean temperature,69
"There are a number of forcings which affect climate (eg - stratospheric aerosols, solar variations).",SUPPORTS,number forcings affect climate stratospheric aerosol solar variation,68
"The planet's average surface temperature has risen about 1.62 degrees Fahrenheit (0.9 degrees Celsius) since the late 19th century, a change driven largely by increased carbon dioxide and other human-made emissions into the atmosphere.",NOT_ENOUGH_INFO,planet average surface temperature risen degree fahrenheit degree celsius since late 19th century change driven largely increased carbon dioxide humanmade emission atmosphere,174
We’ve contacted them to ask more details about the size of the Sif.,NOT_ENOUGH_INFO,contacted ask detail size sif,29
"For instance, wind turbines kill birds and insects, and palm-oil plantations destroy the biodiversity of the rainforests",NOT_ENOUGH_INFO,instance wind turbine kill bird insect palmoil plantation destroy biodiversity rainforest,89
Donald Trump claims Global Warming is a hoax,SUPPORTS,donald trump claim global warming hoax,38
Solar cycles cause global warming.,NOT_ENOUGH_INFO,solar cycle cause global warming,32
roughly three-quarters of the tidal flood days now occurring in towns along the East Coast would not be happening in the absence of the rise in the sea level caused by human emissions.,NOT_ENOUGH_INFO,roughly threequarters tidal flood day occurring town along east coast would not happening absence rise sea level caused human emission,134
UAH atmospheric temperatures prove climate models and/or surface temperature data sets are wrong,NOT_ENOUGH_INFO,uah atmospheric temperature prove climate model andor surface temperature data set wrong,88
"The statement that so-called greenhouse gases,  especially CO2, contribute to near-surface atmospheric warming is in  glaring contradiction to well-known physical laws relating to gas and  vapour, as well as to general caloric theory.'",NOT_ENOUGH_INFO,statement socalled greenhouse gas especially co2 contribute nearsurface atmospheric warming glaring contradiction wellknown physical law relating gas vapour well general caloric theory,184
"Human-produced carbon might be one of the factors of climate change, but there’s simply no evidence that it is a significant one.",REFUTES,humanproduced carbon might one factor climate change simply evidence significant one,84
"Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.",NOT_ENOUGH_INFO,forward projection solar cyclicity imply next decade may marked global cooling rather warming despite continuing co2 emission,125
"“In 2013 the level of U.S. farm output was about 2.7 times its 1948 level, and productivity was growing at an average annual rate of 1.52%.",NOT_ENOUGH_INFO,level farm output time level productivity growing average annual rate,69
"Surface temperatures on Earth ""have stabilized.""",NOT_ENOUGH_INFO,surface temperature earth stabilized,36
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,NOT_ENOUGH_INFO,scientist studying antarctica sea ice warn rise accumulation could spark next ice age,85
NOAA has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were.,REFUTES,noaa adjusted past temperature look colder recent temperature look warmer,73
"Just 0.7% of the world’s forests are coastal mangroves, y​​​​​​et they store up to 10 times as much carbon per hectare as tropical forests.",NOT_ENOUGH_INFO,world forest coastal mangrove y​​​​​​et store time much carbon per hectare tropical forest,90
"Shelters in poorer countries are not repainted as often, and darker stations absorb more of the sun’s energy.",SUPPORTS,shelter poorer country not repainted often darker station absorb sun energy,75
"CO2 levels are rising so fast that unless we decrease emissions, global warming will accelerate this century.",SUPPORTS,co2 level rising fast unless decrease emission global warming accelerate century,80
"[O]ne of the previously fastest shrinking glaciers in the world is growing again, calling into question the narrative that rapid climate change [...]",NOT_ENOUGH_INFO,one previously fastest shrinking glacier world growing calling question narrative rapid climate change,102
"His best estimate is that the  warming in response to a doubling of CO2 concentration, which may happen  this century unless the usual suspects get away with shutting down the  economies of the West, will be a harmless 1 Fahrenheit degree, not the 6  F predicted by the IPCC.""",REFUTES,best estimate warming response doubling co2 concentration may happen century unless usual suspect get away shutting economy west harmless fahrenheit degree not predicted ipcc,174
"“Global warming and climate change, even if it is 100% caused by humans, is so slow that it cannot be observed by anyone in their lifetime.",NOT_ENOUGH_INFO,global warming climate change even 100 caused human slow not observed anyone lifetime,85
"If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped",NOT_ENOUGH_INFO,sea level rise six foot due climate change waterplace park providence wickford village would swamped,100
The amount of land we use for meat — humankind’s biggest use of land — has declined by an area nearly as large as Alaska,NOT_ENOUGH_INFO,amount land use meat humankind biggest use land declined area nearly large alaska,81
"When the heat buildup in the ocean is taken into account, global temperatures are rising relentlessly.",NOT_ENOUGH_INFO,heat buildup ocean taken account global temperature rising relentlessly,71
There's no empirical evidence for climate change.,REFUTES,there empirical evidence climate change,39
"Global warming leads to much quicker spread of the Zika virus because the increased temperature, ""makes mosquitoes mature faster, . . .",NOT_ENOUGH_INFO,global warming lead much quicker spread zika virus increased temperature make mosquito mature faster,100
Around 1990 it became obvious the local tide-gauge did not agree - there was no evidence of 'sinking.',NOT_ENOUGH_INFO,around became obvious local tidegauge not agree evidence sinking,64
"The Rio Grande is a classic “feast or famine” river, with a dry year or two typically followed by a couple of wet years that allow for recovery.",NOT_ENOUGH_INFO,rio grande classic feast famine river dry year two typically followed couple wet year allow recovery,100
"""Three recent articles give us reason to question the alarmists’ claims  that coral reefs are in deep trouble due to the buildup of greenhouse  gases."" (World Climate Report)",NOT_ENOUGH_INFO,three recent article give reason question alarmist claim coral reef deep trouble due buildup greenhouse gas world climate report,128
"More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.",NOT_ENOUGH_INFO,climate model past year not predict actually happened assumed carbon dioxide pivotal role driving climate change effect cloud backradiation sun trivial,151
precipitation from global warming will make the world much greener,NOT_ENOUGH_INFO,precipitation global warming make world much greener,52
Mount Kilimanjaro's shrinking glacier is complicated and not due to just global warming.,NOT_ENOUGH_INFO,mount kilimanjaro shrinking glacier complicated not due global warming,70
" As it happens, the writer of that October 2009 e-mail—Kevin Trenberth, a lead author of the warmist bible, the 2007 Intergovernmental Panel on Climate Change (IPCC) report—told Congress two years ago that evidence for manmade warming is ""unequivocal.",SUPPORTS,happens writer october email—kevin trenberth lead author warmist bible intergovernmental panel climate change ipcc report—told congress two year ago evidence manmade warming unequivocal,185
