claims,claims_labels
"In one particularly damning email, CRU director Phil Jones said he had used ‘Mike’s Nature trick’ to ‘hide the decline’ in temperatures in the second half of the 20th century.",SUPPORTS
They (Clinton and Obama) have never to my knowledge been involved in legislation nor hearings nor engagement on this issue (climate change).,NOT_ENOUGH_INFO
Renewables can't provide baseload power.,REFUTES
"But the heads of small island nations, fearful of rising sea levels, had also asked scientists to examine the effects of 2.7 degrees of warming.",NOT_ENOUGH_INFO
"Etna has already put more than 10,000 times the CO2 into the atmosphere than mankind has in our entire time on the Earth.",REFUTES
“Houlton has been exploring this possibility for years.,NOT_ENOUGH_INFO
"'On June 23, 1988, NASA scientist James Hansen testified before the House of Representatives that there was a strong ""cause and effect relationship"" between observed temperatures and human emissions into the atmosphere.",SUPPORTS
"The current debate on the connection between CO2 emissions and climate change has largely overlooked an independent and equally serious problem, the increasing acidity of our oceans.",SUPPORTS
"the IPCC is wrong − the sun, not CO2, drove modern global warming",REFUTES
"Observations throughout the world make it clear that climate change is occurring, and rigorous scientific research demonstrates that the greenhouse gases emitted by human activities are the primary driver.",SUPPORTS
This argument comes from Angstrom's work in 1901.,REFUTES
Man-made greenhouse gases play only an insignificant role.,REFUTES
"To make matters worse, the water temperatures in the Arctic Ocean are several degrees above average, which is an expected result of having less sea ice.",SUPPORTS
"The North Pole is melting ""a bit"" but the South Pole is getting bigger.",NOT_ENOUGH_INFO
"Some scientists believe that solar activity is more likely to influence today’s climate than carbon dioxide, and Dr Soon has compiled data showing temperature in America, Canada and Mexico rises and falls in line with solar activity.",NOT_ENOUGH_INFO
Hansen predicted in 1988 the West Side Highway would be underwater in 20 years.,NOT_ENOUGH_INFO
"A subsequent study by Dessler (2011) found that Spencer's paper was not a test of climate sensitivity or feedbacks, and his assumptions do not match empirical observational data.",NOT_ENOUGH_INFO
'Our harmless emissions of trifling quantities of carbon dioxide cannot possibly acidify the oceans.,NOT_ENOUGH_INFO
"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",SUPPORTS
This increase is the result of humans emitting more carbon dioxide into the atmosphere and hence more being absorbed into the oceans.,SUPPORTS
"If we halve the carbon dioxide content of the atmosphere, all life dies.",REFUTES
The full data for latitudes 64-90°N reveal the Arctic is warmer today than in 1940.,SUPPORTS
We don't need a high heat flow - just a high temperature for the core to affect the surface climate.,NOT_ENOUGH_INFO
"""The solar system oscillates with a 60-year cycle due to the Jupiter/Saturn three-synodic cycle and to a Jupiter/Saturn beat tidal cycle...",NOT_ENOUGH_INFO
"Hurricanes, tornadoes, floods, droughts and other natural disasters have yet to show any obvious long-term change.”",SUPPORTS
Neptune's orbit is 164 years so observations (1950 to present day) span less than a third of a Neptunian year.,NOT_ENOUGH_INFO
“Arctic land stores about twice as much carbon as the atmosphere.,NOT_ENOUGH_INFO
"Etna has already put more than 10,000 times the CO2 in the atmosphere that humanity has on Earth at all times.",REFUTES
"Another consequence of the fast melting Arctic raises the possibility that there may be even worse extreme weather to come, according to a few scientists: titanic Atlantic superstorms and hurricanes barreling across Europe.",SUPPORTS
Droughts and floods have not changed since weve been using fossil fuels,NOT_ENOUGH_INFO
"Growers regularly pump CO2 into greenhouses, raising levels to three times that of the natural environment, to produce stronger, greener, healthier plants.”",SUPPORTS
Marine life has nothing whatsoever to fear from ocean acidification.”,REFUTES
"When CO2 levels were higher in the past, solar levels were also lower.",REFUTES
"“Right now, the shelf works like a giant bottle-stopper that slows down ice trying to flow from the land into the sea.",NOT_ENOUGH_INFO
Climate change isn't increasing extreme weather damage costs,REFUTES
There is long-term correlation between CO2 and global temperature; other effects are short-term.,SUPPORTS
"Study finds low probability of both very low and very high climate sensitivities, and its lower estimate (as compared to the IPCC) is based on a new temperature reconstruction of the Last Glacial Maximum that may or may not withstand the test of time.",NOT_ENOUGH_INFO
"But more than 7% of deaths are related to cold—counting hypothermia, as well as increased blood pressure and risk of heart attack that results when the body restricts blood flow in response to frigid temperatures.”",NOT_ENOUGH_INFO
The global dimming trend reversed around 1990 - 15 years after the global warming trend began in the mid 1970's.,NOT_ENOUGH_INFO
more than 100 per cent of the warming over the past century is due to human actions,SUPPORTS
NOAA has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were.,NOT_ENOUGH_INFO
The Little Ice Age ended as recently as 1850.,SUPPORTS
"The warming effect from more CO2 greatly outstrips the influence from changes in the Earth's orbit or solar activity, even if solar levels were to drop to Maunder Minimum levels.",NOT_ENOUGH_INFO
[T]he overwhelming majority of peer-reviewed studies  [find] that CO2 in the atmosphere remained there a short time.,NOT_ENOUGH_INFO
"…obsessing about climate change is avoiding a frank discussion about the here-and-now problems of budget deficits, the federal debt, school choice, entitlement reform, and so on.",NOT_ENOUGH_INFO
"For instance, in the original hockey stick (ending 1980) the last 30-40 years of data points slightly downwards.",NOT_ENOUGH_INFO
There is no single continuous satellite measurement of Total Solar Irradiance (TSI).,REFUTES
"Over the coming 25 or 30 years, scientists say, the climate is likely to gradually warm",NOT_ENOUGH_INFO
"Burning fuel to produce fertiliser to grow feed, to  produce meat and to transport it - and clearing vegetation for grazing -  produces 9 per cent of all emissions of carbon dioxide, the most common  greenhouse gas.",NOT_ENOUGH_INFO
The polar bear population has been growing.,REFUTES
"For example, geothermal energy is available at all times, concentrated solar thermal energy has storage capability, and wind energy can be stored in compressed air.",NOT_ENOUGH_INFO
Comparisons to the most recent data consistently finds that climate change is occurring more rapidly and intensely than indicated by IPCC predictions.,REFUTES
"""[Models] are full of fudge factors that are fitted to the existing climate, so the models more or less agree with the observed data.",REFUTES
"A major part of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman ""was essentially written by BP.""",SUPPORTS
"A number of independent investigations from different countries, universities and government bodies have investigated the stolen emails and found no evidence of wrong doing.",NOT_ENOUGH_INFO
[climate models] systematically overestimate climate sensitivity to carbon dioxide ... and modelists exclude forcings and feedbacks that run counter to their mission,REFUTES
Study Shows The Great Barrier Reef Is Growing Quickly,REFUTES
"The most vulnerable parts of the West Antarctic ice sheet could raise the sea level by 10 to 15 feet, inundating many of the world’s coastal cities, though most scientists think that would take well over a century, or perhaps longer.",SUPPORTS
"In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.",SUPPORTS
"The IPCC confirms that computer modeling predicts the existence of a tropical, mid-troposphere “hot spot” about 10km above the Earth’s surface.",NOT_ENOUGH_INFO
Greenhouse gases emitted into the ocean are causing more holes in the ozone layer … “the ozone layer has holes in it causing global temperature to rise”,REFUTES
"International Energy Agency, a global analysis organization, “continue to see a role for coal for the foreseeable future.”",NOT_ENOUGH_INFO
Global warming is driving major melting on the surface of Greenland’s glaciers and is speeding up their travel into the sea.”,SUPPORTS
Arctic sea ice is also falling at an accelerated rate.,NOT_ENOUGH_INFO
"[Ice] is expanding in much of Antarctica, contrary to the widespread public belief that global warming is melting the continental ice cap.",REFUTES
Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past.,SUPPORTS
How does increasing CO2 affect the atmosphere?,REFUTES
"Australia’s signed a suicide note [with the Paris Accord] yet didn’t seem to notice that China, India, Indonesia and the US did not commit to reducing their large carbon dioxide emissions.",SUPPORTS
Australia accounts for 1.5 per cent of global carbon emissions.,REFUTES
Individual carbon dioxide molecules have a short life of about 5 years in the atmosphere.,REFUTES
Marine life has nothing whatsoever to fear from ocean acidification.,REFUTES
“Carbon dioxide hurts nobody’s health.,REFUTES
The exception to this ice loss is Antarctic sea ice which has been growing despite the warming Southern Ocean.,SUPPORTS
"If the CO2 effect was saturated, adding more CO2 should add no additional greenhouse effect.",NOT_ENOUGH_INFO
"The effect of this disparity is that thermal radiation escaping to space comes mostly from the cold upper atmosphere, while the surface is maintained at a substantially warmer temperature.",SUPPORTS
"Melting ice leads to more sunlight being absorbed by water, thus heating the Arctic.",SUPPORTS
"‘Next year or the year after, the Arctic will be free of ice’",REFUTES
Multiple lines of independent evidence indicate humidity is rising and provides positive feedback.,NOT_ENOUGH_INFO
Scientists tried to 'hide the decline' in global temperature,NOT_ENOUGH_INFO
"When the heat buildup in the ocean is taken into account, global temperatures are rising relentlessly.",NOT_ENOUGH_INFO
This means the global temperature trend has now shown no further warming for 19 years,NOT_ENOUGH_INFO
"according, again, to the official figures—during this past 10 years, if anything, mean global temperature, average world temperature, has slightly declined",REFUTES
Hundreds of flowers across the UK are flowering earlier now than any time in 250 years.,NOT_ENOUGH_INFO
"The intentional dimming of direct sunlight by aircraft dispersed particles, a form of global warming mitigation known as “Solar Radiation Management”, has and is causing catastrophic damage to the planet’s life support systems.",REFUTES
Arctic icemelt is a natural cycle.,REFUTES
"In no way, shape, or form are humans warming or cooling the planet.",REFUTES
Humans are too insignificant to affect global climate.,REFUTES
The claim sea level isn’t rising is based on blatantly doctored graphs and conspiracy theories that are contradicted by empirical observational data.,SUPPORTS
"Consequently, CO2 levels at around 1,000 to 2,300 ppm were actually low enough to promote glaciation in the southern continent of Gondwana.",SUPPORTS
"Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase.",REFUTES
"If water temperatures stay moderate, the damaged sections of the Great Barrier Reef may be covered with corals again in as few as 10 or 15 years",NOT_ENOUGH_INFO
"While changes in cloud cover & aerosols lead to more sunlight hitting the surface, this can be compensated by the cooling effect on the atmosphere due to fewer clouds trapping less warmth and fewer absorbing aerosols absorbing less sunlight.",SUPPORTS
"In addition, [climate models] ignore the fact that enriching the atmosphere with CO2 is beneficial",NOT_ENOUGH_INFO
"The sea level was 20 to 30 feet higher than it is today, implying that the ice sheets in both Greenland and Antarctica must have partly disintegrated, a warning of what could occur in the relatively near future if the heating of the planet continues unchecked.”",NOT_ENOUGH_INFO
Tallahassee reduced its carbon intensity by roughly 40 percent.,NOT_ENOUGH_INFO
90 percent of the world’s glaciers are growing.,REFUTES
"Surface temperatures can show short-term cooling when heat is exchanged between the atmosphere and the ocean, which has a much greater heat capacity than the air.",SUPPORTS
"The winds around the continent seem to be strengthening, stirring the ocean and bringing up a layer of warmer water that has most likely been there for centuries.",SUPPORTS
Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead,REFUTES
"As of today,JAXA shows that we have more ice than any time on this date for the past 8 years of Aqua satellite measurement for this AMSRE dataset.""",NOT_ENOUGH_INFO
It fails to explain how we can have short-term positive feedback and long-term negative feedback.,NOT_ENOUGH_INFO
There exists a car that runs solely on water,REFUTES
A cold day in Chicago in winter has nothing to do with the trend of global warming.,NOT_ENOUGH_INFO
The lack of any sunspots suggests the current solar minimum is one of the 'deepest' in 100 years.,NOT_ENOUGH_INFO
"Severe storms, floods and agricultural losses may cost a great deal of money, but such extreme weather events—and their resulting costs—are dramatically declining as the Earth modestly warms.",REFUTES
"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely, the oceans would rise by six metres around the world, flooding many of the world’s largest cities.",SUPPORTS
Greenland ice sheet … would balloon sea levels by around 7m should it disintegrate,SUPPORTS
"California legislators have made it illegal for anyone to deny climate change, under threat of jail time.",SUPPORTS
"""In 1999 New Scientist reported a comment by the leading Indian glaciologist Syed Hasnain, who said in an email interview with this author that all the glaciers in the central and eastern Himalayas could disappear by 2035.",SUPPORTS
Comparisons to the most recent data consistently finds that climate change is occurring more rapidly and intensely than indicated by IPCC predictions.,SUPPORTS
"unadjusted data suggests that temperatures in Australia have only increased by 0.3 degrees over the past century, not the 1 degree usually claimed.",REFUTES
"Increases in atmospheric CO2 is mainly from natural causes, like ocean outgassing, and not from humans who emit so little in comparison",REFUTES
"Despite recent attempts to paint the United States as a major global polluter, according to the World Health Organization (WHO), the U.S. is among the cleanest nations on the planet.",NOT_ENOUGH_INFO
"In recent decades this warming has been accompanied by a constant rise in the sea level and, it would appear, by an increase of extreme weather events, even if a scientifically determinable cause cannot be assigned to each particular phenomenon.",SUPPORTS
The Ozone Layer stops UV radiation from entering our atmosphere.,SUPPORTS
This “blocking” effect means extreme events can unfold.”,NOT_ENOUGH_INFO
Melting ice isn't warming the Arctic.,REFUTES
But gravity measurements of ice-mass loss are  complicated by glacial isostatic adjustments—compensation for the rise or fall of the underlying crustal material.,SUPPORTS
"""Twentieth century global warming did not start until 1910.",REFUTES
"“The oceans, which absorb more than 90% of the extra CO2 pumped into the atmosphere“",REFUTES
"If every nation agrees to limit CO2 emissions, we can achieve significant cuts on a global scale.",NOT_ENOUGH_INFO
HFCs (hydrofluorocarbons) are tens of thousands of times more polluting than carbon dioxide.,NOT_ENOUGH_INFO
There’s no trend in hurricane-related flooding in the U.S.,REFUTES
"The oceans are warming and moreover are becoming more acidic, threatening the food chain.",SUPPORTS
The melting of cows is more damaging to the climate than all the cars on this planet.,REFUTES
"If Hillary would have fact-checked her example of sea level rise in Norfolk, Virginia, she would have found out that the experts already know this is mostly due to the land there sinking.",NOT_ENOUGH_INFO
The iris hypothesis has not withstood the test of time - subsequent research,NOT_ENOUGH_INFO
"The 30,000 scientists and science graduates listed on the OISM petition represent a tiny fraction (0.3%) of all science graduates.",NOT_ENOUGH_INFO
Coral bleaching has devastated 93% of the Great Barrier Reef,REFUTES
"Nine years into that 11-year hurricane drought, a NASA scientist computed it as a 1-in-177-year event.",NOT_ENOUGH_INFO
"If every nation agrees to limit CO2 emissions, we can achieve significant cuts on a global scale.",SUPPORTS
'Mauna Loa has been producing a readout which supports Manning's predetermined goal by showing steady growth in atmospheric CO2 concentrations since 1959.,SUPPORTS
"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",NOT_ENOUGH_INFO
"Europe and Asia  emit most of the soot from burning coal, wood, dung, and diesel in open  fires or without particulate filters in stoves, chimneys, smokestacks,  and exhaust pipes.",SUPPORTS
Global warming is driving polar bears toward extinction,SUPPORTS
"""There is no actual evidence that carbon dioxide emissions are causing global warming.",REFUTES
"HAARP may deliberately create destruction on a global scale, causing earthquakes, cyclones, flooding, snowstorms, around the world; HAARP may be attacking the citizens of the world telepathically, influencing thoughts with low frequency vibrations",REFUTES
Measurements of carbon isotopes and falling oxygen in the atmosphere show that rising carbon dioxide is due to the burning of fossil fuels and cannot be coming from the ocean.,NOT_ENOUGH_INFO
"Global sea level data shows that sea level rise has been increasing since 1880 while future sea level rise predictions are based on physics, not statistics.",SUPPORTS
The noted oceanographer Walter Munk referred to sea-level rise as an “enigma”,REFUTES
Ljungqvist's millennial temperature reconstruction was very similar to Moberg et al.,NOT_ENOUGH_INFO
"The Obama administration's ""own Environmental Protection Agency"" has said its Clean Power Plan ""will have a marginal impact on climate change.""",NOT_ENOUGH_INFO
The melting of the Arctic is a natural cycle.,REFUTES
For decades horticulturalists have pumped carbon dioxide into glasshouses to increase yields.,SUPPORTS
"Science said in the 70s, another ice age in 10 years; 80s, acid rain will destroy all crops in 10 years; 90s the ozone layer will be destroyed in 10 years; 2000’s the ice caps will be gone on 10 years",REFUTES
"Beginning in 2005, however, polar ice modestly receded for several years.",NOT_ENOUGH_INFO
"This means it is possible that by some yardsticks, 2016 will be declared as hot as 2015 or even slightly hotter – because El Nino did not vanish until the middle of the year.",SUPPORTS
Water vapor in the stratosphere stopped global warming.,NOT_ENOUGH_INFO
Less than 5% of carbon dioxide emissions are produced by man [... they] can’t cause 30% of today’s atmospheric carbon dioxide,REFUTES
Obama administration's Clean Power Plan would have little or no effect on carbon dioxide emissions.,REFUTES
"[T]he study indicates “Greenland’s ice may be less susceptible to the massive meltdown predicted by computer models of climate change, the main author ... said in an interview. ...",REFUTES
In 1990 the United Nation’s Intergovernmental Panel on Climate Change (IPCC) predicted that temperatures would rise by 0.54F (0.3C) per decade.,SUPPORTS
"Because the collapse of vulnerable parts of the ice sheet could raise the sea level dramatically, the continued existence of the world’s great coastal cities — Miami, New York, Shanghai and many more — is tied to Antarctica’s fate.",SUPPORTS
The idea that climate change is new or is caused by Humans is nonsense.,REFUTES
"Unlike genuine pollutants, carbon dioxide (CO2) is an odourless and colourless gas.",REFUTES
"a distressing number of the [West coast] fires are not accidents, and willful arson is the cause.",REFUTES
"The atmosphere and ocean have warmed, the amounts of snow and ice have diminished, and sea level has risen.",SUPPORTS
"'Antarctic sea ice set a new record in October 2007, as photographs distributed by the National Oceanic and Atmospheric Administration showed penguins and other cold-weather creatures able to stand farther north on Southern Hemisphere sea ice than has ever been recorded.",NOT_ENOUGH_INFO
In 1990 the United Nation’s Intergovernmental Panel on Climate Change (IPCC) predicted that temperatures would rise by 0.54F (0.3C) per decade.,NOT_ENOUGH_INFO
The polar bear population has been growing. Polar bears are thriving even where sea ice is diminishing.,REFUTES
"This was the case last year too, while earlier years in the DMI analysis period (1958-2010) hardly ever shows Arctic melt season temperatures this cold (Frank Lansner)",REFUTES
The report […] found that the United States was one of the most pollution-free nations in the world.”,NOT_ENOUGH_INFO
A variety of different measurements find steadily rising sea levels over the past century.,SUPPORTS
"While many scientists have acknowledged the mismatch between model predictions and actual temperature observations, few have really challenged the validity of the models themselves.",NOT_ENOUGH_INFO
"Weather is chaotic because air is light, it has low friction and viscosity, it expands strongly when in contact with hot surfaces and it conducts heat poorly.",SUPPORTS
"“The oceans, which absorb more than 90% of the extra CO2 pumped into the atmosphere“",REFUTES
The consensus among scientists and policy-makers is that we’ll pass this point of no return if the global mean temperature rises by more than two degrees Celsius,REFUTES
"“Because CO₂ acts as a fertilizer, as much as half of all vegetated land is persistently greener today.",NOT_ENOUGH_INFO
"Glaciers are in rapid retreat worldwide, despite 1 error in 1 paragraph in a 3000 page IPCC report.",SUPPORTS
"Yet a study published just this week, by the Bjerknes Centre for Climate Research in Bergen, Norway, found that the natural climate system can change abruptly, without the need for any external forces.",NOT_ENOUGH_INFO
"The increase in atmospheric methane, a greenhouse gas, in the latter part of the 20th century was explained as coming from expansion of grazing and rice cultivation, but the cause was found to be leaking gas pipelines in the Soviet Union which are now being properly managed and maintained.",NOT_ENOUGH_INFO
"The North Pole is melting ""a bit"" but the South Pole is getting bigger.",NOT_ENOUGH_INFO
"Some scientists believe that solar activity is more likely to influence today’s climate than carbon dioxide, and Dr Soon has compiled data showing temperature in America, Canada and Mexico rises and falls in line with solar activity.",REFUTES
Policy makers who want to help the residents of the Marshall Islands today should look at improving the islands’ resilience,NOT_ENOUGH_INFO
"CO2 levels are measured by hundreds of stations across the globe, all reporting the same trend.",NOT_ENOUGH_INFO
Greenland's ice loss is accelerating & will add metres of sea level rise in upcoming centuries.,SUPPORTS
Greenland has only lost a tiny fraction of its ice mass,REFUTES
climate models predict too much warming in the troposphere,NOT_ENOUGH_INFO
"Last month was the hottest June ever recorded, European satellite agency announces",REFUTES
"“Instead of a three-foot increase in ocean levels by the end of the century, six feet was more likely, according to DeConto and Pollard’s findings.",REFUTES
Climate change is due to cosmic rays.,REFUTES
Different areas of science are understood with varying degrees of certainty.,NOT_ENOUGH_INFO
More than 75 percent of the rainforest is losing resilience; More than half of the rainforest could be converted into savanna in a matter of decades,SUPPORTS
"“Healthy societies do not fall apart over slow, widely predicted, relatively small economic adjustments of the sort painted by climate analysis.",NOT_ENOUGH_INFO
"While such a storm does not happen in New England anymore, it happened again there in 1675, with elderly eyewitnesses comparing it to the 1635 storm.",NOT_ENOUGH_INFO
"But we do have other reliable indicators of temperatures before the late 1800s, and the evidence shows temperatures have been warmer than today for most of the past several thousand years, including warmer-than-present temperatures for most of the human civilization time period",NOT_ENOUGH_INFO
"Earth’s mean temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now; from 1–200 A.D., an epoch called the Roman Warm Period, and more recently the Medieval Warm Period from 900–1100 A.D.",REFUTES
"The Rio Grande is a classic “feast or famine” river, with a dry year or two typically followed by a couple of wet years that allow for recovery.",SUPPORTS
Climate change is because of Pacific Decadal Oscillation.,NOT_ENOUGH_INFO
Is carbon dioxide a pollutant?,REFUTES
Scientists project that the Arctic will be ice-free in the summer of 2013.,REFUTES
"As of today,JAXA shows that we have more ice than any time on this date for the past 8 years of Aqua satellite measurement for this AMSRE dataset.""",NOT_ENOUGH_INFO
Climate sensitivity can be calculated empirically by comparing past temperature change to natural forcings at the time.,SUPPORTS
"When you account for the effects which are not reflected in the market price of fossil fuels, like air pollution and health impacts, the true cost of coal and other fossil fuels is higher than the cost of most renewable energy technologies.",SUPPORTS
Fifty-five thousand years ago the whole world was 2°C warmer than today [...] Its entire economy; [human greenhouse gas emissions are] no fart in the wind. Sea level rise will not happen.,REFUTES
They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide. I hope my readers can recognize the absurdity of their claims. … increasing sunspots are linked to increases in earth temperature,REFUTES
"But Trenberth’s ""lack of warming at the moment"" has been going on at least a decade.",SUPPORTS
"So that means that probably about half, maybe half of that nine-tenths of the degree [of total warming] might be caused by greenhouse gases",REFUTES
“[Sea ice] also helps regulate the planet’s temperature by influencing the circulation of the atmosphere and ocean.,SUPPORTS
The news of expanding Antarctic sea ice stole headlines from global warming alarmists who asserted Arctic sea ice had reached its lowest extent since 1979.',SUPPORTS
