claims,claim_labels
a local cold day has nothing to do with the long-term trend of increasing global temperatures.,SUPPORTS
extreme weather isn't caused by global warming,REFUTES
extreme weather events are being made more frequent and worse by global warming.,SUPPORTS
sea level rise is exaggerated,REFUTES
a variety of different measurements find steadily rising sea levels over the past century.,SUPPORTS
it's urban heat island effect causing all the warming,REFUTES
urban and rural regions show the same warming trend.,SUPPORTS
medieval warm period was warmer,REFUTES
globally averaged temperature now is higher than global temperature in medieval times.,SUPPORTS
mars is warming,REFUTES
mars is not warming globally.,SUPPORTS
arctic icemelt is a natural cycle,REFUTES
thick arctic sea ice is undergoing a rapid retreat.,SUPPORTS
increasing co2 has little to no effect,REFUTES
the strong co2 effect has been observed by many different measurements.,SUPPORTS
oceans are cooling,REFUTES
the most recent ocean measurements show consistent warming.,SUPPORTS
climate scientists are in it for the money,REFUTES
"climate scientists could make far more money in other careers - most notably, working for the oil industry.",SUPPORTS
it is the 1500 year natural cycle causing all the recent global warming,REFUTES
ancient natural cycles are irrelevant for attributing recent global warming to humans.,SUPPORTS
human co2 is a tiny % of co2 emissions,REFUTES
the natural cycle adds and removes co2 to keep a balance; humans add extra co2 without removing any.,SUPPORTS
ipcc is alarmist,REFUTES
numerous papers have documented how ipcc predictions are more likely to underestimate the climate response.,SUPPORTS
water vapor is the most powerful greenhouse gas,REFUTES
"rising co2 increases atmospheric water vapor, which makes global warming much worse.",SUPPORTS
polar bear numbers are increasing,REFUTES
polar bears are in danger of extinction as well as many other species.,SUPPORTS
co2 limits will harm the economy,REFUTES
the benefits of a price on carbon outweigh the costs several times over.,SUPPORTS
climate change is not happening,REFUTES
there are many lines of evidence indicating global warming is unequivocal.,SUPPORTS
was greenland really green in the past?,REFUTES
other parts of the earth got colder when greenland got warmer.,SUPPORTS
co2 is not a pollutant,REFUTES
"through its impacts on the climate, co2 presents a danger to public health and welfare, and thus qualifies as an air pollutant",SUPPORTS
greenland is gaining ice,REFUTES
"greenland on the whole is losing ice, as confirmed by satellite measurement.",SUPPORTS
co2 is plant food,REFUTES
the effects of enhanced co2 on terrestrial plants are variable and complex and dependent on numerous factors,SUPPORTS
there's no empirical evidence that humans are causing global warming,REFUTES
there are multiple lines of direct observations that humans are causing global warming.,SUPPORTS
arctic sea ice has recovered,REFUTES
thick arctic sea ice is in rapid retreat.,SUPPORTS
other planets are warming,REFUTES
"mars and jupiter are not warming, and anyway the sun has recently been cooling slightly.",SUPPORTS
there's no correlation between co2 and temperature,REFUTES
there is long-term correlation between co2 and global temperature; other effects are short-term.,SUPPORTS
we're coming out of the little ice age,REFUTES
scientists have determined that the factors which caused the little ice age cooling are not currently causing global warming.,SUPPORTS
it cooled mid-century,REFUTES
mid-century cooling involved aerosols and is irrelevant for recent global warming.,SUPPORTS
"global warming stopped in 1998, 1995, 2002, 2007, 2010",REFUTES
global temperature is still rising and 2010 was the hottest recorded.,SUPPORTS
co2 was higher in the past,REFUTES
climate has changed along with co2 levels through geological time.,SUPPORTS
it warmed before 1940 when co2 was low,REFUTES
"early 20th century warming is due to several causes, including rising co2.",SUPPORTS
satellites show no warming in the troposphere,REFUTES
the most recent satellite data show that the earth as a whole is warming.,SUPPORTS
it's aerosols causing global warming,REFUTES
"aerosols have been masking global warming, which would be worse otherwise.",SUPPORTS
2009-2010 winter saw record cold spells,REFUTES
a cold day in chicago in winter has nothing to do with the trend of global warming.,SUPPORTS
it's a natural cycle to having this global warming,REFUTES
no known natural forcing fits the fingerprints of observed warming except anthropogenic greenhouse gases.,SUPPORTS
it's el niño responsible for the trend of global warming.,REFUTES
el nino has no trend and so is not responsible for the trend of global warming.,SUPPORTS
it's not us humans causing any climatic changes,REFUTES
multiple sets of independent observations find a human fingerprint on climate change.,SUPPORTS
mt. kilimanjaro's ice loss is due to land use,REFUTES
"most glaciers are in rapid retreat worldwide, notwithstanding a few complicated cases.",SUPPORTS
it's pacific decadal oscillation responsible for the trend of global warming.,REFUTES
"the pdo shows no trend, and therefore the pdo is not responsible for the trend of global warming.",SUPPORTS
there's no tropospheric hot spot,REFUTES
we see a clear 'short-term hot spot' - there's various evidence for a 'long-term hot spot'.,SUPPORTS
2nd law of thermodynamics contradicts greenhouse theory,REFUTES
the 2nd law of thermodynamics is consistent with the greenhouse effect which is directly observed.,SUPPORTS
scientists can't even predict weather,REFUTES
weather and climate are different; climate predictions do not need weather detail.,SUPPORTS
ipcc were wrong about himalayan glaciers,REFUTES
"glaciers are in rapid retreat worldwide, despite 1 error in 1 paragraph in a 1000 page ipcc report.",SUPPORTS
greenhouse effect has been falsified,REFUTES
the greenhouse effect is standard physics and confirmed by observations.,SUPPORTS
clouds provide negative feedback,REFUTES
evidence is building that net cloud feedback is likely positive and unlikely to be strongly negative.,SUPPORTS
co2 limits will hurt the poor,REFUTES
those who contribute the least greenhouse gases will be most impacted by climate change.,SUPPORTS
sea level rise predictions are exaggerated,REFUTES
sea level rise is now increasing faster than predicted due to unexpectedly rapid ice melting.,SUPPORTS
the science of humans causing global warming isn't settled,REFUTES
that human co2 is causing global warming is known with high certainty & confirmed by observations.,SUPPORTS
it's the ocean causing all the global warming,REFUTES
"the oceans are warming and moreover are becoming more acidic, threatening the food chain.",SUPPORTS
ipcc were wrong about amazon rainforests,REFUTES
"the ipcc statement on amazon rainforests was correct, and was incorrectly reported in some media.",SUPPORTS
corals are resilient to bleaching,REFUTES
globally about 1% of coral is dying out each year.,SUPPORTS
volcanoes emit more co2 than humans,REFUTES
humans emit 100 times more co2 than volcanoes.,SUPPORTS
co2 effect is saturated,REFUTES
direct measurements find that rising co2 is trapping more heat.,SUPPORTS
greenland ice sheet won't collapse,REFUTES
"when greenland was 3 to 5 degrees c warmer than today, a large portion of the ice sheet melted.",SUPPORTS
"co2 is just a trace gas,so its effect on climate changes can be neglected",REFUTES
many substances are dangerous even in trace amounts; what really matters is the total amount of co2 in the atmosphere.,SUPPORTS
500 scientists refute the consensus,REFUTES
around 97% of climate experts agree that humans are causing global warming.,SUPPORTS
methane plays a major role in global warming,REFUTES
methane plays a minor role in global warming but could get much worse if permafrost starts to melt.,SUPPORTS
co2 has a short residence time,REFUTES
excess co2 from human emissions has a long residence time of over 100 years,SUPPORTS
co2 measurements are suspect,REFUTES
"co2 levels are measured by hundreds of stations across the globe, all reporting the same trend.",SUPPORTS
humidity is falling,REFUTES
multiple lines of independent evidence indicate humidity is rising and provides positive feedback.,SUPPORTS
jupiter is warming,REFUTES
"jupiter is not warming, and anyway the sun is cooling.",SUPPORTS
neptune is warming,REFUTES
and the sun is cooling.,SUPPORTS
springs aren't advancing,REFUTES
hundreds of flowers across the uk are flowering earlier now than any time in 250 years.,SUPPORTS
co2 is not increasing,REFUTES
"co2 is increasing rapidly, and is reaching levels not seen on the earth for millions of years.",SUPPORTS
it's land use that plays a major role in climate change,REFUTES
"land use plays a minor role in climate change, although carbon sequestration may help to mitigate.",SUPPORTS
scientists tried to 'hide the decline' in global temperature,REFUTES
"scientist confirm decline in northern tree-rings, not global temperature, and is openly discussed in papers and the ipcc reports.",SUPPORTS
record snowfall disproves global warming,REFUTES
"warming leads to increased evaporation and precipitation, which falls as increased snow in winter.",SUPPORTS
they changed the name from 'global warming' to 'climate change',REFUTES
'global warming' and 'climate change' mean different things and have both been used for decades.,SUPPORTS
wildfires are not caused by global warming,REFUTES
global warming worsens wildfires by creating drier conditions with more fuel for fires to spread further and faster.,SUPPORTS
solar cycle length proves its the sun,REFUTES
the sun has not warmed since 1970 and so cannot be driving global warming.,SUPPORTS
co2 is coming from the ocean,REFUTES
"the ocean is absorbing massive amounts of co2, and is becoming more acidic as a result.",SUPPORTS
co2 is not the only driver of climate,REFUTES
"theory, models and direct measurement confirm co2 is currently the main driver of climate change.",SUPPORTS
ipcc overestimate temperature rise,REFUTES
monckton used the ipcc equation in an inappropriate manner.,SUPPORTS
peer review process was corrupted,REFUTES
an independent review concluded that cru's actions were normal and didn't threaten the integrity of peer review.,SUPPORTS
pluto is warming,REFUTES
and the sun has been recently cooling.,SUPPORTS
arctic was warmer in 1940,REFUTES
the actual data show high northern latitudes are warmer today than in 1940.,SUPPORTS
co2 limits will make little difference,REFUTES
"if every nation agrees to limit co2 emissions, we can achieve significant cuts on a global scale.",SUPPORTS
renewable energy is too expensive,REFUTES
"when you account for all of the costs associated with burning coal and other fossil fuels, like air pollution and health effects, in reality they are significantly more expensive than most renewable energy sources.",SUPPORTS
sea level rise is decelerating,REFUTES
"global sea level data shows that sea level rise has been increasing since 1880 while future sea level rise predictions are based on physics, not statistics.",SUPPORTS
southern sea ice is increasing,REFUTES
antarctic sea ice has grown in recent decades despite the southern ocean warming at the same time.,SUPPORTS
humans are too insignificant to affect global climate,REFUTES
"humans are small but powerful, and human co2 emissions are causing global warming.",SUPPORTS
it's microsite influences,REFUTES
microsite influences on temperature changes are minimal; good and bad sites show the same trend.,SUPPORTS
lindzen and choi find low climate sensitivity,REFUTES
lindzen and choi's paper is viewed as unacceptably flawed by other climate scientists.,SUPPORTS
phil jones says no global warming since 1995,REFUTES
phil jones was misquoted.,SUPPORTS
dropped stations introduce warming bias,REFUTES
"if the dropped stations had been kept, the temperature would actually be slightly higher.",SUPPORTS
infrared iris will reduce global warming,REFUTES
"the iris hypothesis has not withstood the test of time - subsequent research has found that if it exists, the effect is much smaller than originally hypothesized, and may even slightly amplify rather than reducing global warming.",SUPPORTS
climate crisis is not urgent,REFUTES
"a large amount of warming is delayed, and if we don't act now we could pass tipping points.",SUPPORTS
it's too hard to reduce greenhouse gas emission,REFUTES
scientific studies have determined that current technology is sufficient to reduce greenhouse gas emissions enough to avoid dangerous climate change.,SUPPORTS
changes in arctic albedo have no significant effect on global warming.,REFUTES
"albedo change in the arctic, due to receding ice, is increasing global warming.",SUPPORTS
tree-rings diverge from temperature after 1960,REFUTES
"tree-rings diverge from temperature is complex, local, and irrelevant to the observed global warming trend.",SUPPORTS
it's soot causing all the warming,REFUTES
soot stays in the atmosphere for days to weeks; carbon dioxide causes warming for centuries.,SUPPORTS
roy spencer finds negative feedback,REFUTES
"spencer's model is too simple, excluding important factors like ocean dynamics and treats cloud feedbacks as forcings.",SUPPORTS
hansen's 1988 prediction was wrong,REFUTES
jim hansen had several possible scenarios; his mid-level scenario b was right.,SUPPORTS
earth hasn't warmed as much as expected,REFUTES
"aerosols and the planet’s thermal inertia have temporarily slowed the apparent rate of warming, even though long-term climate trends match scientific expectations.",SUPPORTS
global brightening is the main cause of the observed rise in global temperatures over recent decades.,REFUTES
global brightening is a complex aerosol effect with unclear temperature significance.,SUPPORTS
arctic sea ice loss is matched by antarctic sea ice gain,REFUTES
arctic sea ice loss is three times greater than antarctic sea ice gain.,SUPPORTS
it's a climate regime shift,REFUTES
there is no evidence that climate has chaotic 'regimes' on a long-term basis.,SUPPORTS
solar cycles cause global warming,REFUTES
"over recent decades, the sun has been slightly cooling & is irrelevant to recent global warming.",SUPPORTS
a drop in volcanic activity caused warming,REFUTES
"volcanoes have had no warming effect in recent global warming - if anything, a cooling effect.",SUPPORTS
less than half of published scientists endorse global warming,REFUTES
around 97% of climate experts agree that humans are causing global warming.,SUPPORTS
"over 31,000 scientists signed the oism petition project",REFUTES
the 'oism petition' was signed by only a few climatologists.,SUPPORTS
plant stomata show higher and more variable co2 levels,REFUTES
stomatal data is not as direct as ice core measurements and hence not as precise.,SUPPORTS
ice isn't melting,REFUTES
"arctic sea ice has shrunk by an area equal to western australia, and summer or multi-year sea ice might be all gone within a decade.",SUPPORTS
sea level is not rising,REFUTES
the claim sea level isn't rising is based on blatantly doctored graphs contradicted by observations.,SUPPORTS
climate is chaotic and cannot be predicted,REFUTES
"weather is chaotic but climate is driven by earth's energy imbalance, which is more predictable.",SUPPORTS
ipcc 'disappeared' the medieval warm period,REFUTES
the ipcc simply updated their temperature history graphs to show the best data available at the time.,SUPPORTS
it's ozone causing all the climate changes,REFUTES
ozone has only a small effect.,SUPPORTS
climate 'skeptics' are like galileo,REFUTES
"modern scientists, not anti-science skeptics, follow in galileo's footsteps.",SUPPORTS
freedom of information (foi) requests were ignored,REFUTES
an independent inquiry found cru is a small research unit with limited resources and their rigour and honesty are not in doubt.,SUPPORTS
the ipcc consensus is phoney,REFUTES
"113 nations signed onto the 2007 ipcc report, which is simply a summary of the current body of climate science evidence.",SUPPORTS
tuvalu sea level isn't rising,REFUTES
tuvalu sea level is rising 3 times larger than the global average.,SUPPORTS
naomi oreskes' study on consensus was flawed,REFUTES
"benny peiser, the oreskes critic, retracted naomi oreskes' study on consensus criticism.",SUPPORTS
renewables can't provide baseload power,REFUTES
"a number of renewable sources already do provide baseload power, and we don't need renewables to provide a large percentage of baseload power immediately.",SUPPORTS
trenberth can't account for the lack of warming,REFUTES
"trenberth is talking about the details of energy flow, not whether global warming is happening.",SUPPORTS
cru tampered with temperature data,REFUTES
an independent inquiry went back to primary data sources and were able to replicate cru's results.,SUPPORTS
ice sheet losses are overestimated,REFUTES
a number of independent measurements find extensive ice loss from antarctica and greenland.,SUPPORTS
breathing contributes to co2 buildup,REFUTES
"by breathing out, we are simply returning to the air the same co2 that was there to begin with.",SUPPORTS
melting ice isn't warming the arctic,REFUTES
"melting ice leads to more sunlight being absorbed by water, thus heating the arctic.",SUPPORTS
satellite error inflated great lakes temperatures,REFUTES
temperature errors in the great lakes region are not used in any global temperature records.,SUPPORTS
soares finds lack of correlation between co2 and temperature,REFUTES
soares looks at short-term trends which are swamped by natural variations while ignoring the long-term correlation.,SUPPORTS
murry salby finds co2 rise is natural,REFUTES
multiple lines of evidence make it very clear that the rise in atmospheric co2 is due to human emissions.,SUPPORTS
we're heading into cooling,REFUTES
there is no scientific basis for claims that the planet will begin to cool in the near future.,SUPPORTS
97% consensus on human-caused global warming has been disproven,REFUTES
the 97% consensus has been independently confirmed by a number of different approaches and lines of evidence.,SUPPORTS
"most of the last 10,000 years were warmer",REFUTES
"this argument uses regional temperature data that ends in 1855, long before modern global warming began.",SUPPORTS
the sun is getting hotter,REFUTES
the sun has just had the deepest solar minimum in 100 years.,SUPPORTS
a grand solar minimum could trigger another ice age,REFUTES
"peer-reviewed research, physics, and math all tell us that a grand solar minimum would have no more than a 0.3°c cooling effect, barely enough to put a dent in human-caused global warming.",SUPPORTS
an exponential increase in co2 will result in a linear increase in temperature,REFUTES
"co2 levels are rising so fast that unless we decrease emissions, global warming will accelerate this century.",SUPPORTS
climate change solutions are too expensive,REFUTES
many climate solutions are cheaper than the alternatives before even accounting for the trillions of dollars saved by reducing climate and air pollution.,SUPPORTS
co2 emissions do not correlate with co2 concentration,REFUTES
that humans are causing the rise in atmospheric co2 is confirmed by multiple isotopic analyses.,SUPPORTS
it warmed just as fast in 1860-1880 and 1910-1940,REFUTES
the warming trend over 1970 to 2001 is greater than warming from both 1860 to 1880 and 1910 to 1940.,SUPPORTS
it's waste heat cauing all the warming across the global,REFUTES
greenhouse warming is adding 100 times more heat to the climate than waste heat.,SUPPORTS
record high snow cover was set in winter 2008/2009,REFUTES
"winter snow cover in 2008/2009 was average while the long-term trend in spring, summer, and annual snow cover is rapid decline.",SUPPORTS
water vapor in the stratosphere stopped global warming,REFUTES
this possibility just means that future global warming could be even worse.,SUPPORTS
cern cloud experiment proved cosmic rays are causing global warming,REFUTES
"the cern cloud experiment only tested one-third of one out of four requirements necessary to blame global warming on cosmic rays, and two of the other requirements have already failed.",SUPPORTS
mauna loa is a volcano,REFUTES
the global trend is calculated from hundreds of co2 measuring stations and confirmed by satellites.,SUPPORTS
deniers are part of the 97%,REFUTES
"if anyone claims to be part of the 97 percent, it means they disagree with the contrarian argument that humans are having a minimal impact on global warming.",SUPPORTS
it's planetary movements causing all the global warming,REFUTES
blaming global warming on the movements of other planets is little more than 'climastrology' and curve fitting without a physical basis.,SUPPORTS
venus doesn't have a runaway greenhouse effect,REFUTES
"venus very likely underwent a runaway or 'moist' greenhouse phase earlier in its history, and today is kept hot by a dense co2 atmosphere.",SUPPORTS
antarctica is too cold to lose ice,REFUTES
glaciers are sliding faster into the ocean because ice shelves are thinning due to warming oceans.,SUPPORTS
positive feedback means runaway warming,REFUTES
positive feedback won't lead to runaway warming; diminishing returns on feedback cycles limit the amplification.,SUPPORTS
skeptics were kept out of the ipcc?,REFUTES
"official records, editors and emails suggest cru scientists acted in the spirit if not the letter of ipcc rules.",SUPPORTS
water levels correlate with sunspots,REFUTES
water levels correlate with sunspots is irrelevant to global warming,SUPPORTS
"co2 increase is natural, not human-caused",REFUTES
"many lines of evidence, including simple accounting, demonstrate beyond a shadow of a doubt that the increase in atmospheric co2 is due to human fossil fuel burning.",SUPPORTS
co2 was higher in the late ordovician,REFUTES
the sun was much cooler during the ordovician.,SUPPORTS
coral atolls grow as sea levels rise,REFUTES
thousands of coral atolls have 'drowned' when unable to grow fast enough to survive at sea level.,SUPPORTS
it's internal variability to blame for all the warming,REFUTES
"internal variability can only account for small amounts of warming and cooling over periods of decades, and scientific studies have consistently shown that it cannot account for the global warming over the past century.",SUPPORTS
no warming in 16 years,REFUTES
"global surface temperatures have continued to rise steadily beneath short-term natural cooling effects, and the rise in global heat content has not slowed at all.",SUPPORTS
warming causes co2 rise,REFUTES
recent warming is due to rising co2.,SUPPORTS
co2 limits won't cool the planet,REFUTES
"co2 limits won't cool the planet, but they can make the difference between continued accelerating global warming to catastrophic levels vs. slowing and eventually stopping the warming at hopefully safe levels.",SUPPORTS
it's cfcs who contribute majorly in all this heat,REFUTES
cfcs contribute at a small level.,SUPPORTS
renewable energy investment kills jobs,REFUTES
investment in renewable energy creates more jobs than investment in fossil fuel energy.,SUPPORTS
schmittner finds low climate sensitivity,REFUTES
"the schmittner et al. study finds low probability of both very low and very high climate sensitivities, and its lower estimate (as compared to the ipcc) is based on a new temperature reconstruction of the last glacial maximum that may or may not withstand the test of time.",SUPPORTS
scientists retracted claim that sea levels are rising,REFUTES
the siddall 2009 paper was retracted because its predicted sea level rise was too low.,SUPPORTS
the 97% consensus on human-caused global warming is a robust result,REFUTES
the 97% consensus on human-caused global warming is a robust result using two independent methods (volunteer abstract ratings and scientist self-ratings) and consistent with similar previous surveys.,SUPPORTS
ben santer rewrote the 1995 ipcc report,REFUTES
the ipcc operates by consensus. ben santer could not have and did not single-handedly alter the 1995 ipcc report. accusations to the contrary are simply an attempt to re-write history.,SUPPORTS
dmi show cooling arctic,REFUTES
the annual average arctic temperature has risen sharply in recent decades.,SUPPORTS
greenland has only lost a tiny fraction of its ice mass,REFUTES
greenland's ice loss is accelerating & will add metres of sea level rise in upcoming centuries.,SUPPORTS
it's a climate shift step function caused by natural cycles,REFUTES
"natural cycles superimposed on a linear warming trend can be mistaken for step changes, but the underlying warming is caused by the external radiative forcing.",SUPPORTS
it's only a few degrees so it has minimal to no effect on climate,REFUTES
"a few degrees of global warming has a huge impact on ice sheets, sea levels and other aspects of climate.",SUPPORTS
royal society embraces skepticism,REFUTES
the royal society still strongly state that human activity is the dominant cause of global warming.,SUPPORTS
arctic sea ice extent was lower in the past,REFUTES
current arctic sea ice extent is the lowest in the past several thousand years.,SUPPORTS
climate change isn't increasing extreme weather damage costs,REFUTES
"the data and research are unclear whether climate change is increasing extreme weather damage costs, but many types of extreme weather are becoming more intense and/or frequent, and disaster costs from extreme weather events are rising.",SUPPORTS
co2 only causes 35% of global warming,REFUTES
co2 and corresponding water vapor feedback are the biggest cause of global warming.,SUPPORTS
ipcc graph showing accelerating trends is misleading,REFUTES
all of the statements made in the ipcc report regarding the figure in question are correct and supported.,SUPPORTS
it's satellite microwave transmissions,REFUTES
satellite transmissions are extremely small and irrelevant.,SUPPORTS
sea level fell in 2010,REFUTES
the temporary drop in sea level in 2010 was due to intense land flooding caused by a strong la nina.,SUPPORTS
great barrier reef is in good shape,REFUTES
evidence clearly shows that both ocean warming and acidification due to human co2 emissions are damaging the great barrier reef,SUPPORTS
hansen predicted the west side highway would be underwater,REFUTES
hansen was speculating on changes that might happen if co2 doubled.,SUPPORTS
heatwaves have happened before so nothing to worry about,REFUTES
"global warming is increasing the frequency, duration and intensity of heatwaves.",SUPPORTS
humans survived past climate changes,REFUTES
humans have been through climate changes before- but mostly cold ones and mostly in our far distant past.,SUPPORTS
ipcc human-caused global warming attribution confidence is unfounded,REFUTES
the ipcc 95% confidence that humans are responsible for most of the current global warming is simply a summary of the peer-reviewed scientific research.,SUPPORTS
ljungqvist broke the hockey stick,REFUTES
ljungqvist's temperature reconstruction is very similar to other reconstructions by moberg and mann.,SUPPORTS
loehle and scafetta find a 60 year cycle causing global warming,REFUTES
loehle and scafetta's paper is nothing more than a curve fitting exercise with no physical basis using an overly simplistic model.,SUPPORTS
postma disproved the greenhouse effect,REFUTES
postma's model contains many simple errors; in no way does postma undermine the existence or necessity of the greenhouse effect.,SUPPORTS
removing all co2 would make little difference,REFUTES
removing co2 would cause most water in the air to rain out and cancel most of the greenhouse effect.,SUPPORTS
uah atmospheric temperatures prove climate models and/or surface temperature data sets are wrong,REFUTES
the most likely explanation for uah data warming less than expected is that the uah data set is biased low.,SUPPORTS
underground temperatures control climate,REFUTES
the amount of heat energy coming out of the earth is too small to even be worth considering.,SUPPORTS
we didn't have global warming during the industrial revolution,REFUTES
co2 emissions were much smaller 100 years ago.,SUPPORTS
akasofu proved global warming is just a recovery from the little ice age,REFUTES
"akasofu provided no physical explanation for the supposed 'recovery' from the little ice age, nor did he explain how the increased greenhouse effect isn't causing global warming.",SUPPORTS
animal agriculture and eating meat are the biggest causes of global warming,REFUTES
"animal agriculture is responsible for only 14 to 18% of human-caused greenhouse gas emissions globally, compared to 60% from fossil fuel burning.",SUPPORTS
arctic sea ice loss in the 1940s was similar to today's,REFUTES
current arctic sea ice decline is far greater than any decline earlier in the 20th century.,SUPPORTS
arctic storm caused the 2012 record sea ice minimum,REFUTES
"the 2012 arctic storm only impacted sea ice because of the long-term, human-caused deterioration of arctic sea ice.",SUPPORTS
best hides the decline in global temperature,REFUTES
best data shows an approximately 0.3°c per decade global warming trend over land.,SUPPORTS
clearing trees for solar panels negates any climate change benefits,REFUTES
an average acre of solar panels in the united states reduced approximately 204–231 times more carbon dioxide per year than an acre of forest.,SUPPORTS
climate science peer review is pal review,REFUTES
climate 'skeptics' including patrick michaels are the ones who have been guilty of true pal review in the journal climate research from 1997 to 2003.,SUPPORTS
electric vehicles are impractical due to range restrictions,REFUTES
"the majority of evs can travel roughly 200 miles on a single charge and some models can travel over 400 miles on a single charge, more than enough to meet the daily needs of median u.s. households.",SUPPORTS
electric vehicles cannot function in hot or cold weather,REFUTES
"extreme temperatures can decrease ev range, particularly extreme cold, but gasoline-powered cars are also susceptible to extreme weather conditions and evs may actually be more reliable than gasoline-powered cars in the cold.",SUPPORTS
electric vehicles have a net harmful effect on climate change,REFUTES
"electric vehicles have lower lifecycle emissions than traditional gasoline-powered cars because they are between 2.5 to 5.8 times more efficient, and are essential to reducing greenhouse gas emissions.",SUPPORTS
electric vehicles will cost the united states many automobile industry jobs,REFUTES
"ev manufacturing need not result in fewer jobs in the u.s. automobile industry with over 179,000 announced u.s. jobs related to evs and ev batteries from 2015 to 2023.",SUPPORTS
electromagnetic fields from solar farms are harmful to human health,REFUTES
the electromagnetic fields generated at a solar farm are similar in strength and frequency to those of toaster ovens and other household appliances—and harmless to humans.,SUPPORTS
electromagnetic radiation from wind turbines poses a threat to human health,REFUTES
multiple studies have found that the electromagnetic fields (emfs) generated by wind turbines are lower than those generated by most common household appliances and that they easily meet rigorous international safety standards.,SUPPORTS
himalayan glaciers are not shrinking,REFUTES
himalayan glaciers supporting hundreds of millions of people are showing consistent loss of ice.,SUPPORTS
holistic management can reverse climate change,REFUTES
soils managed holistically show no significant boost in productivity or overall storage of carbon over a long period of time and are therefore not a solution for climate change.,SUPPORTS
ipcc admits global warming has paused,REFUTES
the overall warming of the global climate has continued at a rate equivalent to 4 hiroshima atomic bomb detonations per second.,SUPPORTS
ipcc edited out natural causes of climate change,REFUTES
the 2007 ipcc report explicitly discusses natural contributions to climate change but concludes that natural contribution to recent climate change is small.,SUPPORTS
ipcc global warming projections were wrong,REFUTES
global surface temperature measurements have fallen within the range of ipcc model projections.,SUPPORTS
low-frequency noise from wind turbines harms human health and causes 'wind turbine syndrome',REFUTES
the weight of the evidence suggests that there is no direct causal correlation between low-frequency noise from wind turbines and human health.,SUPPORTS
monckton shows the ipcc overestimated warming,REFUTES
"lord monckton has taken a single equation from the ipcc, used it in an inappropriate manner, and then attributed his results to the ipcc.",SUPPORTS
no long tail means climate sensitivity is low,REFUTES
"new studies showing climate sensitivity may not be high fail to account for the accelerated warming in the deep ocean, but their estimates are nevertheless within the ipcc expected range.",SUPPORTS
northwest passage has been navigated in the past,REFUTES
"in the mid-20th century, traversing the northwest passage was a difficult and dangerous endeavor, whereas today, virtually anyone can accomplish the passage.",SUPPORTS
nuclear testing is causing global warming,REFUTES
"co2 warming is 10,000 times greater than the energy from every nuclear bomb ever exploded.",SUPPORTS
offshore wind development is harmful to whales and other marine life,REFUTES
wind turbines generate far less low-frequency sound than ships do and the main causes of mortality for right whales are vessel strikes and entanglements in fishing gear.,SUPPORTS
planting a trillion trees will solve global warming,REFUTES
"maximum afforestation and reforestation (close to a trillion new trees) would sequester around 75 billion tons of carbon, which is 7–8 years of annual human emissions at current rates and enough to slow global warming by less than a quarter degree celsius.",SUPPORTS
